question,answer,intent
생강 향 나고 좀 달달하죠?,시럽이 한 번 들어가는데 엄청 달 지는 않아요,메뉴문의
마샬라차이 저거는 뭐예요?,마셜 라차 이는 약간 생강 향 나는 음료입니다,메뉴문의
가져갈 건데 콜드브루는 시원한 거만 되죠?,아이스만 됩니다,메뉴문의
블루베리 쿠키 치즈 케이크 이거는 뭐 들었어요?,안에 진하고 좀 꾸덕꾸덕한 치즈케이크 들었어요,메뉴문의
아이스크림은 어디에 있어요?,아이스크림은 여기 있는 게 전부이고, 삼천오백 원이에요
원래 있기는 있어요?,액체 생크림은 카페마다 달라요,메뉴문의
생크림이 고체가 있고, 액체도 있나요?,액체 생크림은 없어요
블루베리 주스 맛있다고 그러던데,지금은 블루베리 주스 안 돼요,메뉴문의
히비스커스라는 식물 이름이 있어요?,네, 루이보스
니트로 커피는 뭐예요?,니트로는 에스프레소인데 콜드브루 베이스라고 해서 천천히 내려서 냉장 추출한 것을 가스통에 질소를 넣고 만들면 거품도 나고 맥주처럼 부드러워요,메뉴문의
허브차는 어떤 거,허브차 종류는 여기 있습니다,메뉴문의
커피 코너에서 달지 않은 거는 아메리카노 밖에 없나요,달지 않은 커피 중에 우유가 들어간 카페라테도 있어요,메뉴문의
딸기 100프로에요?,네, 딸기 100프로입니다
잼이 들어간다고요?,네, 스무디에 딸기 90프로
딸기는 몇 프로 들어가요?,딸기 많이 들어가고, 직접 만든 딸기잼도 들어갑니다
생과일 뭐가 있어요?,딸기, 키위
근데 컵에서 마실 때랑 맛이 다른 거 같은데 샷이 몇 개에요?,따뜻한 경우는 한 샷, 아이스는 더블 샷 들어갑니다
도피 오가 뭡니까?,에스프레소 더블 샷입니다,메뉴문의
모카인데 크림이 흰색이에요?,네, 모카는 휘핑크림이 올라가는데 빼어드릴 수도 있어요
이름이 뭐라고요?,초코시럽이 들어가는 카페모카요,메뉴문의
아메리카노에는 안 올린다고요?,네, 모카에 휘핑크림이 올라가고
커피 위에 올라가는 거 하얀색이 휘핑크림, 우유 외에 다른 건 없나요?,아메리카노에는 보통 크림을 안 올리고 드세요
휘핑크림 말고 다른 건 또 뭐 있어요?,휘핑크림 밖에 없습니다,메뉴문의
아메리카노 위에 커피 하얀 거 얹는 게 뭐죠?,휘핑크림이요,메뉴문의
1분 커피가 어떤 거예요?,카페라테에 초코칩 아이스크림 올라갑니다,메뉴문의
색소는 뭐 써요?,식용 색소 사용합니다,메뉴문의
메뉴는 많지는 않네요?,네 저희는 아무래도 대만에서 그대로 갖고 오기 때문에 그렇게 많은 메뉴를 운영하지는 않습니다,메뉴문의
초콜릿 같은 음료는 뭡니까?,초코 라테입니다,메뉴문의
수제 누가 크래커도 있네요?,네 재료를 대만에서 가지고 와서 만들었습니다,메뉴문의
뜨거운 것도 이렇게 되나요?,타이거 밀크티는 뜨거운 게 안 나오고 기본적인 실론 밀크티는 따뜻한 것도 가능합니다,메뉴문의
왜 타이거 밀크티에요?,저희가 슈거를 둘러드리는데 이게 나중에 호랑이 무늬처럼 흘러내려서 그렇습니다,메뉴문의
타이거 밀크티 달아요?,네 타이거 밀크티는 달아요,메뉴문의
잘 팔리는 게 실론 밀크티에요?,가장 기본적인 블랙 밀크 치구요 다른 거 드시던 분들은 타이거 밀크 제품 많이 드세요,메뉴문의
어떤 파우더에요?,밀크 파우더요,메뉴문의
밀크티는 홍차에다가 우유 넣은 거 아니에요?,우유에 넣은 게 아니고 저희는 대만에서 갖고 온 비싼 음료 갖고 파우더를 넣은 겁니다,메뉴문의
딸기하고 바나나 섞은 거 맛있나요?,많이 드십니다,메뉴문의
코코아는 맛있어요?,단거 좋아하시면 맛있어요,메뉴문의
생과일주스에요?,냉동과일 아니고 생과일입니다,메뉴문의
아메리카노로 주시고 사이즈 따로 있나요?,사이즈는 하나고 기본 샷은 두 개가 들어갑니다,메뉴문의
아이스로 나온 거예요?,아이스도 있고 따뜻한 것도 있습니다,메뉴문의
밀크 폼 아메리카노가 뭐예요?,아메리카노 위에 우유 거품 올라간 거예요,메뉴문의
아이스크림도 많이 파나봐요?,네 밑에 있는 건 아이스크림이고 위에 있는 건 베이글 안에 들어가는 크림치즈입니다,메뉴문의
원래는 얼마나 들어가죠?,원래는 한 샷 반 들어갑니다,메뉴문의
진하게 하면 샷이 얼마나 들어가요?,투 샷 들어가요,메뉴문의
더치커피는 좀 연한 가요,더치커피는 카페라테랑 시원한 향이 납니다,메뉴문의
카페 모카는 어떤 거예요,초코가 들어가는 거예요,메뉴문의
아포 카도는요?,아이스크림 올라간 거예요,메뉴문의
카페 비엔나는 어떤 거예요?,아메리카노에 휘핑 들어간 거예요,메뉴문의
더치커피는 그냥 아메리카노처럼 돼있나요?,일반 아메리카노보다는 조금 더 연해요,메뉴문의
초코 라테에도 우유 들어가는 거예요?,초코 라테는 초코 라테 원액을 만들어두고 우유에다가 시럽 들어가서 만들어드리는 거예요,메뉴문의
토마토 주스 생과일인가요?,냉동과 일 아니고 생과일입니다,메뉴문의
커피음료 말고는 뭐 있어요?,커피음료 말고는 티 음료랑 생과일주스 있어요,메뉴문의
돌체 라테는 많이 단 가요?,연유 들어가는 거라서 달아요,메뉴문의
조금 더 달겠네요,카페 모카보다 더 달아요,메뉴문의
카페 모카하고 캐러멜 모카는 뭐가 달라요?,캐러멜은 캐러멜이 더 추가되는 겁니다,메뉴문의
저게 다 커피 음료에요?,커피음료 있고 여긴 커피 아닌 거예요,메뉴문의
많이 달겠네요?,많이 달아요,메뉴문의
스타벅스 돌체 라테는 어떤 거예요?,샷이랑 우유랑 돌체 소스라는 원유가 들어간 달달한 커피입니다,메뉴문의
생과일인가요 냉동과일인가요?,생과일입니다,메뉴문의
주스류는 어떤 게 있어요?,토마토 자몽 오렌지가 있습니다,메뉴문의
오늘의 커피라는 게 뭐예요?,오늘의 커피는 베란다라는 드립 커피예요,메뉴문의
시그니처 초콜릿 같은 건 없어요?,시그니처 초콜릿도 있습니다,메뉴문의
초코 음료는 어떤 게 있어요?,초코는 아이스초코, 핫초코랑 자바 칩 음료 있습니다
콜드폼 카푸치노가 뭐예요?,콜드폼 카푸치노는 카푸치노 위에 폼이 올라가는 겁니다,메뉴문의
초콜릿 라테 많이 달아요?,네 초콜릿 라테는 많이 답니다,메뉴문의
초콜릿 라테는 초콜릿 맛이죠?,네 초콜릿 라테는 초콜릿 맛입니다,메뉴문의
스무디는 차가운 거죠?,네 스무디는 차가운 음료입니다,메뉴문의
커피 말고 다른 메뉴는 뭐가 있나요?,티 나 에이드 종류가 있습니다,메뉴문의
원 사이즈인가요?,네 저희 음료는 원 사이즈입니다,메뉴문의
카페라테에 샷이 몇 개가 들어가요?,카페라테에는 샷 세 개가 들어갑니다,메뉴문의
그린 티 라테는 녹차가루 들어가는 건가요?,네 그린 티 라테에는 녹차 파우더가 들어갑니다,메뉴문의
시나몬 뿌려주는 거 있나요?,카푸치노에 시나몬이 들어갑니다,메뉴문의
헤이즐넛 바닐라라테 많이 달아요?,네 많이 답니다,메뉴문의
과일주스는 진짜 과일 갈아서 주는 거죠?,네 과일주스는 진짜 과일을 갈아서 드립니다,메뉴문의
베이커리도 하시나 봐요?,케이크 종류는 팔고 있습니다,메뉴문의
스무디랑 비슷한 건가요?,네 스무디랑 비슷한 음료입니다,메뉴문의
플랫 지노는 뭐예요?,얼음이 들어간 차가운 음료입니다,메뉴문의
리트로 콜드브루는 따뜻한 거예요?,리트로 콜드브루는 차가운 음료입니다,메뉴문의
커피잔도 판매하시는 거예요?,네 커피잔도 판매하고 있습니다,메뉴문의
캐러멜 마키야 토는 단 거예요?,캐러멜 마키야 토는 캐러멜 시럽이 들어가서 많이 답니다,메뉴문의
화이트 모카는 어떤 거예요?,화이트 모카는 하얀 초콜릿이 들어간 음료입니다,메뉴문의
더블 그린 카페라테는 뭐예요?,더블 그린 카페라테는 녹차라테라고 생각하시면 됩니다,메뉴문의
얼그레이 향이 좀 있겠네요?,네 얼그레이 향이 납니다,메뉴문의
얼그레이는 뭐예요?,얼그레이는 홍차입니다,메뉴문의
얼그레이 아메리카노는 어떤 맛이에요?,기본 아메리카노에 얼그레이 티가 들어간 맛입니다,메뉴문의
양은 똑같아요?,숏 라테가 양은 좀 작지만 향이 깊고 진하게 드실 수 있습니다,메뉴문의
숏 라테는 어떤 거예요?,숏 라테는 일반 라테보다 진한 라테입니다,메뉴문의
캐머마일은 어떤 거예요?,캐머마일은 허브티 티백입니다,메뉴문의
커피에 들어가는 건가요?,아뇨 커피는 들어가지 않습니다,메뉴문의
치즈케이크 라테는 어떤 거예요?,치즈케이크 라테는 라테에 치즈케이크 맛 파우더를 넣는 겁니다,메뉴문의
더치 라테는요?,더치 라테는 찬물에 커피와 우유를 넣는 겁니다,메뉴문의
헤이즐넛 라테는 뭐예요?,헤이즐넛 라테는 라테에 헤이즐넛 시럽이 들어가는 겁니다,메뉴문의
머핀이랑 쿠키는 만들어서 파시는 건가요?,아뇨 머핀이랑 쿠키는 조달하는 제품입니다,메뉴문의
다른 빵은 없나요?,지금 다른 빵은 다 팔렸습니다,메뉴문의
크루아상 안에 초코나 생크림이 들어 있나요?,아뇨 크루아상 겉에 초코를 바른 겁니다,메뉴문의
크루아상 빵도 만들어서 파시는 건가요?,네 크루아상도 만들어서 팔고 있습니다,메뉴문의
스팀밀크는 어떤 거예요?,스팀밀크는 우유를 스팀으로 데워서 드리는 겁니다,메뉴문의
아포가토는 어떤 거예요?,아포가토는 바닐라 아이스크림에 에스프레소 샷이 들어가는 겁니다,메뉴문의
카페에서 만드는 건가요?,브라우니랑 치즈케이크는 완제로 나오고 허니버터 볼은 직접 만듭니다,메뉴문의
빵 종류는 뭐가 있나요?,지금은 허니버터 볼, 치즈 케이즈
더 고소한 맛이 많은 거예요?,부드러운 맛이 있습니다,메뉴문의
라테하고 비슷한 거예요?,돌체 라테와 비슷한데 라테에 연유를 넣는 겁니다,메뉴문의
경성역 다방커피는 어떤 거예요?,경성역 다방커피는 연유커피입니다,메뉴문의
민트 아메리카노는 어떤 거예요?,민트 아메리카노는 지금 판매하지 않습니다,메뉴문의
오늘은 시식하는 게 없네요,네 오늘은 시식하는 게 없습니다,메뉴문의
빵은 직접 다 만드시는 거예요?,네 직접 만들고 있습니다,메뉴문의
바닐라라테는 어떤 게 들어가나요?,바닐라라테에는 바닐라 시럽이 들어갑니다,메뉴문의
마론 마키아토는 무슨 맛이에요?,마론 마키아토는 단 맛이 납니다,메뉴문의
마카롱도 같이 파시나요?,네 마카롱도 만들어서 팔고 있습니다,메뉴문의
메뉴를 일본어로 해 놓으신 거예요?,네 코치가 커피라는 뜻이에요,메뉴문의
그럼 밀크 코히는요?,밀크 코치는 라테입니다,메뉴문의
커피 코지 코치는 뭐예요?,커피 코지 코치는 드립 커피입니다,메뉴문의
제가 고른 원두로 아메리카노랑 라테도 되는 거예요?,네 가능합니다,메뉴문의
신데렐라 커피는 뭐예요?,원두를 선택하시는 커피예요,메뉴문의
모카치노가 뭐예요?,카페모카에 거품을 많이 넣어드리는 거예요,메뉴문의
구운 도넛은 여기서 직접 굽는다 그랬죠?,네 저희가 직접 굽는 도넛입니다,메뉴문의
케냐 AA보다 예가 제프가 더 부드러워요?,네 가장 부드러운 걸 찾으시면 마운틴을 추천드릴게요,메뉴문의
프라페는 뭐예요?,프라페는 얼음과 재료를 간 음료입니다,메뉴문의
더치커피가 일반 커피보다 맛이 더 진한가요?,일반 커피와 비슷합니다,메뉴문의
병 주스는 어떤 게 있어요?,병 주스는 판매하지 않습니다,메뉴문의
바나나 주스는 어떻게 만드는 거예요?,바나나 주스는 바나나랑 우유를 조금 넣어서 갈아드려요,메뉴문의
주스 종류는 어떤 게 있어요?,지금은 바나나 주스만 가능합니다,메뉴문의
카푸치노 위에 시나몬 파우더 올라가나요?,시나몬 파우더는 셀프 바에스 이용하시면 됩니다,메뉴문의
진저에이드는 아린 맛이 나나요?,네 그렇게 심하게 아리진 않아요,메뉴문의
인삼 한 뿌리는 어떻게 만들어요?,인삼이랑 우유랑 시럽 조금 넣어서 만들어요,메뉴문의
히비스커스 라스 이거는 따뜻하게 나오나 봐요,네 몸에 좋은 따뜻한 차예요,메뉴문의
모 히토 커피 라테는 뭐예요?,콜드브루에 모 히토 티백을 넣어서 화한 맛과 달콤한 맛이 납니다,메뉴문의
콜드브루는 뭐예요?,더치커피를 시원하게 우려낸 겁니다,메뉴문의
레모네이드하고 티 레모네이드하고 어떻게 차이 나나요?,티 레몬에 이르는 우려낸 차가 들어가서 차 맛이 좀 나요,메뉴문의
백 앤 나는 뭔데요?,커피 위에 아이스크림 올라가는 거예요,메뉴문의
아포가토는 뭐예요?,저희는 아포가토는 없고 백 앤 나가 있어요,메뉴문의
십구 곡 라테는 뭐예요?,곡물 라테 곡물과 우유와 율무가 들어있어요,메뉴문의
더블에스프레소는 양이 두 배라는 말이에요?,샷을 원액으로 두 개 넣어드립니다,메뉴문의
대만 샌드위치는 여기서 만든 거예요?,네 아침에 사장님이 만드시는 거예요,메뉴문의
메이플 라테는 뭐예요?,메이플 시럽이 들어간 단 음료입니다,메뉴문의
단 맛은 안 나는 건가요?,심하게 짠 건 아니고 달면서 짜요,메뉴문의
소금 커피가 뭐예요?,아메리카노 위에 소금 크림소스 올려드려요,메뉴문의
구수한 맛이 혹시 들어있나요?,구수한 것보단 달달한 맛이 많이 나요,메뉴문의
솔 티드 캐러멜 라테는 뭐예요?,솔 티드 캐러멜 라테는 시즌 메뉴 중 하나인데 약간 짭짤한 맛이 들어있는 커피입니다,메뉴문의
더치 아메리카노는 아이스만 되죠?,아뇨 따뜻한 것도 됩니다,메뉴문의
케냐 에티오피아가 뭐예요?,매장에서 사용되는 원두입니다,메뉴문의
아메리카노에 샷이 두 개인가요?,네 아메리카노는 투 샷이에요,메뉴문의
원두는 갈아서 파시나요?,아뇨 원두는 안 팔고 있습니다,메뉴문의
더치커피도 판매하나요?,죄송합니다만 더치커피는 없어요,메뉴문의
플랫 화이트가 뭐예요?,우유 양이 적은 라테입니다,메뉴문의
휘핑크림은 뭘로 만드나요?,휘핑크림에는 우유와 바닐라 시럽이 들어갑니다,메뉴문의
카페모카에 커피는 안 들어가요?,카페모카에는 샷이 두 개 들어갑니다,메뉴문의
카페모카 위에 올라가 있는 건 우유 거품인가요?,우유 거품이 아닌 휘핑크림인데 빼실 수 있습니다,메뉴문의
카페모카에는 뭐가 들어갔죠?,카페모카에는 초코 시럽이 들어가 있어요,메뉴문의
커피에 샷 한 개 들어간 거예요?,네 아메리카노에는 샷이 한 개 들어갑니다,메뉴문의
커피가 1리터예요?,1리터도 가능하시고 작은 사이즈도 있어요,메뉴문의
아메리카노에 샷이 한 개에요?,네 아메리카노에는 샷이 한 개 들어갑니다,메뉴문의
커피에 샷이 몇 개 들어가요?,따뜻한 아메리카노에는 샷이 한 개 들어갑니다,메뉴문의
더치커피도 있어요?,네 더치커피 종류는 브라질 콜롬비아 에티오피아 세 가지 종류가 있어요,메뉴문의
빵도 여기서 만드는 거예요?,네 1시 되면 빵이 나와요,메뉴문의
차 종류는 어디 있나요?,차 종류는 저쪽 메뉴판을 보시면 돼요,메뉴문의
커피 콘은 밀가루에 커피를 넣은 건가요?,네 와플 같은 디저트입니다,메뉴문의
바닐라라테에 바닐라가 들어간 건가요?,바닐라 시럽이 들어가요,메뉴문의
커피에 샷은 한 개 들어가나요?,아메리카노는 샷이 하나 들어가고 카페라테는 두 개 들어갑니다,메뉴문의
커피 메뉴는 어디 있어요?,이쪽에 있어요,메뉴문의
라테 중에서는 카페라테가 제일 덜 달죠?,네 시럽이 안 들어가서 제일 안 달아요,메뉴문의
에스프레소는 뜨거운 물 따로 주나요?,죄송합니다만 에스프레소는 불가능하고 2층 안쪽에 따로 레몬 물이 준비되어 있습니다,메뉴문의
이 음료에는 생딸기가 들어가요?,네 생딸기를 넣어요,메뉴문의
그러면 플레인 요구르트 하나 주시고 프라페는 뭐예요?,프라페는 얼음을 간 음료입니다,메뉴문의
플랫 시노에 적힌 초콜릿 칩은 뭐예요?,플랫 지노는 얼음이 들어가는 음료입니다,메뉴문의
자색 고구마는 어떤 맛이에요?,자색 고구마와 우유로 만든 음료입니다,메뉴문의
커피 음료 말고는 어떤 게 있어요?,티, 라테
진열된 건 모형이죠?,네, 진열된 것들은 모형입니다
소스가 더 끈적하다는 건가요?,네 초코 소스 보다 더 달은 소스입니다,메뉴문의
화이트 초콜릿 모카랑 카페 모카랑 뭐가 달라요?,카페모카는 초코 소스가 들어가고, 화이트 초콜릿 모카는 좀 더 진한 화이트 초코 소스가 들어갑니다
초콜릿 크리 미슈는 무슨 맛이에요?,초코맛 슈크림이 들어갑니다,메뉴문의
샷은 한 개 들어가겠네요?,네, 톨 사이즈는 샷이 한 개 들어갑니다
카페라테하고 카페 모카하고 뭐가 달라요?,카페라테에는 우유만 들어가고, 카페 모카는 우유
커피가 안 들어가는 거죠?,네 커피는 들어가지 않습니다,메뉴문의
이천 햅쌀 라테가 뭐죠?,이천 햅쌀 라테 파우더가 들어간 고소한 라테라고 생각하시면 돼요,메뉴문의
시럽이 조금만 들어가도 많이 달아요?,단 맛이 나기는 합니다,메뉴문의
차이 티 라테는 단 맛 조절이 가능해요?,네, 차이 티 라테는 단 맛 조절이 가능합니다
오늘의 커피 연한 것도 가능해요?,오늘의 커피는 연하게 안 됩니다,메뉴문의
아메리카노하고 별 차이가 없어요?,아메리카노는 압력으로 추출하는 거라서 기름 층위 있는데 오늘의 커피는 기름층 없이 부드럽게 드실 수 있어요,메뉴문의
오늘의 커피는 뭐예요?,오늘의 커피는 드립으로 내리는 커피에요,메뉴문의
생강 에이드도 많이 달아요?,네, 생강 에이드는 단 음료입니다
티라미수는 많이 단 가요?,네, 티라미수는 단 케이크입니다
티라미수는 어떤 거예요?,티라미수는 초콜릿과 치즈 맛이 나는 케이크입니다,메뉴문의
케이크 종류도 있어요?,네, 케이크도 있습니다
캐러멜마키아토도 시럽 빼면 괜찮을까요?,캐러멜마키아토는 시럽을 뺄 수는 없지만, 적게 넣을 수는 있습니다
캐러멜 마키아토는 달아요?,캐러멜 마키아토는 단 음료입니다,메뉴문의
카페라테 많이 달아요?,카페라테는 달지 않습니다,메뉴문의
냉동 블루베리에 시럽만 넣었나요?,블루베리 주스에는 시럽과 우유가 들어갔습니다,메뉴문의
블루베리 주스에는 시럽 들어가요?,네, 블루 베르 주스에는 시럽이 들어갑니다
사장님 저 곡물 라테는 뭐 들어가요?,곡물 라테는 곡물 가루가 들어가고 우유 거품과 함께 따뜻하게 먹을 수 있습니다,메뉴문의
블루베리는 냉동 블루베리인가요?,네, 냉동 블루베리를 사용합니다
블루베리도 잘 나가요?,네 블루베리도 잘 나가요,메뉴문의
망고는 뭐예요?,망고는 시원해서 젊은 사람들이 선호합니다,메뉴문의
커피 말고는 뭐 있어요?,라테도 있고 주스도 있습니다,메뉴문의
맛은 똑같은가요?,얼그레이는 얼그레이 맛이 나고 민트는 민트 맛이 납니다,메뉴문의
얼그레이는 홍차고 베리 민트는 뭐예요?,베리 민트도 홍차 들어가요,메뉴문의
커피가 들어갔나요?,아뇨 커피 안 들어가요,메뉴문의
로열 밀크티는 뭐예요?,홍차에 티백 들어가는 음료입니다,메뉴문의
예 이건 수제 쿠키에요?,그냥 쿠키에요,메뉴문의
생강 수삼 주스는 뭐예요?,수삼이랑 우유 갈아서 나가는 거예요,메뉴문의
생강 차는 생강 분말 들어가요?,생강 청이랑 생강가루가 들어갑니다,메뉴문의
미숫가루 라테 종류가 되게 많네요?,그거는 커피가 안 들어가는 라테에요,메뉴문의
더치커피하고 더치 라테가 있네요?,물 들어가고 우유 들어가고 차이에요,메뉴문의
커피가 들어갔나요?,네 둘 다 더치커피가 들어가요,메뉴문의
이거 아이스 팬은 밀크하고 블랙하고 어떻게 달라요?,둘 다 차가운 것만 가능한데 밀크는 우유가 들어가서 고소하고 블랙은 물이 들어가서 깔끔합니다,메뉴문의
청을 직접 만들어 갖고 파나봐요,네 레몬이랑 자몽청 만들어서 판매하고 있어요,메뉴문의
커피 들어가는 음료 중에 덜 단 게 있나요?,라테가 제일 안 달고 바닐라 라테 같은 경우 시럽 빼어드릴 수 있어요,메뉴문의
자몽 청은 여기서 만드신 거예요?,제가 만든 거예요,메뉴문의
자몽 티 덜 달게 되나요?,예 덜 달게 해드릴게요,메뉴문의
스무디는 얼음 넣어서 간 거죠?,네 맞아요,메뉴문의
초코 음료는 뭐 어떤 거 있어요?,아이스초코랑 초코 스무디요,메뉴문의
커피는 안 들어가죠?,커피는 안 들어갑니다,메뉴문의
더블 모카가 초코 라테에요?,네 맞아요,메뉴문의
초콜릿 같은 건 없나요?,있습니다,메뉴문의
안 차가운 건 없어요?,다 따뜻하게 가능해요,메뉴문의
여기 커피 말고는 음료수 뭐 있어요?,생과일 네 종류 있고 허브 차도 있고 에이드도 있어요,메뉴문의
제조 용법이 다른 거예요?,다른 건 아니고 아메리카노는 기계를 사용해서 고온 고압으로 내리는데 오늘의 커피는 드립 기계로 내려요,메뉴문의
일반 아메리카노랑 같은 거예요?,아메리카노와 달리 산미가 좀 높고 카페인에 민감하신 분들이 많이 드세요,메뉴문의
여기 오늘의 커피라고 있다고 하던데 그건 뭐예요?,드립 커피에 요,메뉴문의
몰디브 라테는 뭐예요?,카페라테에 시럽이 들어가는데 그것보다는 캐러멜 라테나 카페모카를 더 추천해드릴게요,메뉴문의
케이크 종류 파시는데 커피도 파시는 건가요?,네 둘 다 판매하고 있습니다,메뉴문의
머랭 쿠키도 직접 만드신 거예요?,쿠키는 우리가 받아서 해요,메뉴문의
이 빵은 뭐예요?,새로 나온 핫도그 빵이에요,메뉴문의
그 빵은 뭐예요?,고구마 빵이에요,메뉴문의
크로켓 안에 뭐가 들었어요?,계란하고 감자가 들어있습니다,메뉴문의
여기 톰과 제리 치즈 모양 생긴 게 치즈 케이크인가요?,네 치즈케이크에요,메뉴문의
콜드브루는 따뜻한 거예요?,콜드브루는 차가운 거밖에 없어요,메뉴문의
핸드드립이랑 콜드브루는 뭐가 달라요?,핸드드립은 저희가 손으로 내리는 거고 콜드브루는 더치로 차게 내리는 음료입니다,메뉴문의
사장님 허니 브래드는 직접 만드신 거예요?,네 직접 만들었습니다,메뉴문의
아메리카노 많이 뜨거워요?,아메리카노는 좀 뜨거워요,메뉴문의
연유 말고 또 뭐 들어가요?,무지방 우유도 들어가요,메뉴문의
돌체 라테인가 연유 들어가는 거 있어요?,네 연유 들어가는 거 있어요,메뉴문의
사장님 냉동 블루베리에 시럽만 넣었죠?,우유도 들어갔습니다,메뉴문의
블루베리 주스에는 시럽 들어가요?,시럽 안 넣고 싶으시면 말씀해주세요,메뉴문의
곡물 라테는 뭐 들어가요?,곡물 라테는 곡물 가루를 사용하고 우유 거품을 같이 넣어드려요,메뉴문의
블루베리 주스 잘 나가요?,블루베리는 냉동 제품을 사용한 거라 따듯한 거 드시고 싶으면 곡물 라테 한 번 먹어보세요,메뉴문의
망고는 뭐예요?,망고는 시원해서 젊은 사람들이 선호합니다,메뉴문의
커피 말고는 뭐 있어요?,커피 말고는 라테도 있고 주스도 있습니다,메뉴문의
많이 안 달죠?,네 달지 않습니다,메뉴문의
아트 라테는 솔티 치즈랑 다르게 커피가 들어가는 건가요?,네 아트 라테는 커피가 들어갑니다,메뉴문의
맛은 똑같은 거예요?,얼그레이는 얼그레이 맛이 나고 민트는 민트 맛이 납니다,메뉴문의
베리 민트는요?,베리 민트도 홍차에요,메뉴문의
커피가 들어간 거예요?,아뇨 커피는 들어가지 않습니다,메뉴문의
로열 밀크티는 뭐예요?,로열 밀크티는 홍차에 티백이 들어간 음료입니다,메뉴문의
샷 한 번만 넣으면 되나요?,저희는 삼대 일로 나가는데 고객님이 좀 진하다 느끼시면 오 대일이나 욱대 일까지 하셔도 돼요,메뉴문의
물에 타 먹으면 되는 거죠?,네 물이나 우유에 타드시면 돼요,메뉴문의
콜드브루 파는 거예요?,네 세 개 사시면 하나 더 드립니다,메뉴문의
아이스티도 시원하죠?,네 아이스티는 시원한 음료입니다,메뉴문의
시원한 음료 종류는 어디 있어요?,시원한 음료 종류는 아래에 보시면 있습니다,메뉴문의
콜드브루 아인슈페너는 뭔데요?,콜드브루 아인슈페너는 콜드브루 원액에 생크림 넣은 거예요,메뉴문의
딸기 라테에는 뭐가 들어있어요?,딸기 라테는 생과일 딸기에 우유 넣은 거예요,메뉴문의
번에 치즈가 들었어요?,치즈가 들어가는 번은 없고 오리지널 번입니다,메뉴문의
니트로 커피가 뭐예요?,니트로 커피는 콜드브루에 질소를 넣어서 거품이 있는 음료입니다,메뉴문의
커피 꿀 복숭아 망고는 뭐예요?,커피 꿀 복숭아 망고는 스무디 종류입니다,메뉴문의
사진에 있는 게 밀크티 라테죠?,네 그게 밀크티 라테입니다,메뉴문의
밀크티 라테랑 카페라테랑 뭐가 달라요?,밀크티 라테는 홍차 베이스에 우유가 들어간 거고 카페라테는 커피 샷이 들어가요,메뉴문의
밀크티 라테 따뜻한 음료라고 했죠?,네 밀크티 라테는 따뜻한 음료입니다,메뉴문의
쿠키 쉬는 안에 뭐가 들어있는 거예요?,쿠키 슈 안에는 크림이 들어있습니다,메뉴문의
따뜻한 아메리카노 위에 휘핑이 올라가요?,네 커피는 쓰지만 위에 휘핑크림이 올라가서 잘 어울립니다,메뉴문의
카페 비엔나는 달아요?,아메리카노 위에 생크림 휘핑이 올라가 있는 메뉴입니다,메뉴문의
새로운 게먹고 싶은데 캐머마일은 차 종류 맞나요?,네 캐머마일은 차 종류예요,메뉴문의
밖에 프라이팬은 뭐예요?,프라이팬은 스무디 종류입니다,메뉴문의
카푸치노 와플도 있는데 이건 커피 맛이 나나 봐요?,카푸치노 와플에는 계핏가루가 들어갑니다,메뉴문의
허니 바게트 빵 이거는 뭐예요?,예 그건 바게트 빵이에요,메뉴문의
여기 샌드위치 있나요?,샌드위치는 가지고 오시면 바코드 찍어드릴게요,메뉴문의
원두는 로스팅 된 거 사 오시나요?,네 저희는 원두 주문하는 곳이 있습니다,메뉴문의
여기 샷이 몇 개에요?,투 샷이에요,메뉴문의
음료에 캐러멜 시럽을 넣기도 해요?,헤이즐넛이나 캐러멜 시럽은 자체적인 향 때문에 주로 넣어요,메뉴문의
헤이즐넛도 시럽이에요?,네 헤이즐넛 시럽도 있습니다,메뉴문의
로스팅은 얼마나 해요?,로스팅은 저희 협회에서 해오고 업소에서는 내리기만 합니다,메뉴문의
칵테일도 있어요?,예 칵테일은 도수가 센 편인데 여성분들은 화이트 칵테일이라고 거품이 좀 들어있는 걸 선호하세요,메뉴문의
형광 커피는 아이스네요?,네 여름에 드셔보시면 맛있어요,메뉴문의
형광 커피가 뭐예요?,형광 커피는 에스프레소와 얼음을 칵테일 셰이커에 넣어서 만든 샤케라또인데 저희는 기계를 이용해서 거품이 조금 굵어요,메뉴문의
아포가토는?,아포가토는 아이스크림에 에스프레소를 넣어서 떠먹는 메뉴입니다,메뉴문의
샤키라 또는 아이스네요?,네 아이스입니다,메뉴문의
샤케라또가 뭐예요?,에스프레소하고 얼음을 셰이크 한 거예요,메뉴문의
아메리 찌노가 무슨 말이에요?,아메리카노와 맛은 똑같은데 아메리 추노에는 우유 거품이 아닌 커피 거품 층위 있어요,메뉴문의
스몰 사이즈로 우유가 안 들어간 게 아메리 추노인가요?,네 아메리 추노에는 우유가 들어가지 않습니다,메뉴문의
핑크 솔트 비엔나에 우유도 들어가요?,우유는 안 들어가고 아메리카노 위에 올려드려요,메뉴문의
핑크 솔트 비엔나는 소금이 들어갔다는 거예요?,아메리카노 크림에다가 핑크 소스랑 소금을 올려서 단맛과 짠맛을 좋아하시는 분들이 선호합니다,메뉴문의
